num	category	seq	title	writer	date
164	방송통신진흥	4456606	통합 라디오 플랫폼 구축 방안 연구	미디어정책기획팀	2026-06-17
163	방송통신진흥	6226172	데이터 기반 유료방송 상생협력 정책 개선 연구	미디어정책기획팀	2026-06-17
162	전파진흥	7143593	통신분야 탄소중립 법제 연구	디지털융합기획팀	2026-04-28
161	전파검사	3408057	무선국 안전관리 가이드라인 마련 연구	검사기획팀	2026-04-09
160	기술자격	3801319	국가기술자격 실기시험 방법 개편 및 운영 방안에 대한 연구	자격기획팀	2026-04-07
159	전파진흥	6226147	디지털 기후대응 연구	디지털통신융합기획팀	2025-08-28
158	방송통신진흥	8192130	국제 OTT 산업 실태조사 및 국내 OTT 글로벌 진출 방안 연구	미디어정책기획팀	2025-05-29
157	방송통신진흥	5505211	방송정책백서 발간 기획연구	미디어정책기획팀	2025-05-29
156	방송통신진흥	6226136	방송산업 환경변화에 따른 유료방송 재원과 수익 다각화 방안 연구	미디어정책기획팀	2025-05-29
155	공통	2883716	KCA 중장기 경영전략 및 실행 방안 연구	경영기획팀	2025-05-27
154	전파진흥	1835205	전파분야 유관기관 협력 과제 발굴ㆍ실행 방안 연구	전파자원기획팀	2025-04-29
153	공통	3997846	디지털 정책·기술 변화에 대한 선제적 대응을 위한 조직구축 방안 연구	경영기획팀	2025-04-22
152	전파검사	1245387	디지털 심화 시대 전파이용환경 관리 및 사고·위협 대응 방안 연구	검사기획팀	2025-03-12
151	전파검사	2621618	차세대 융복합시설 및 주변지역 전자파 인체 노출량 안전관리 방안연구	전자파안전정보센터	2024-07-04
150	전파진흥	4784375	디지털 성범죄 예방을 위한 "AI기반의 전파 트래픽 탐지기" 개발 및 실증	디지털통신융합기획팀	2024-05-09
149	전파진흥	6226080	디지털 통신재난의 사회경제적 손실 비용 청구 연구	디지털통신융합기획팀	2024-05-09
148	방송통신진흥	2687203	디지털 트랜스포메이션 시대, 영상·미디어 데이터 구축 및 활용 방안	미디어콘텐츠기획팀	2024-02-15
